Topic 0:  ['πλειοψηφ', 'τροποποι', 'τμημ', 'τροπολογ', 'νομοσχεδ']
Topic 274:  ['ψηφιστ', 'ακολουθ', 'παραιτ', 'σχετ', 'διαμαρτυρ']
Topic 275:  ['γνωμ', 'δενδ', 'διαφορετ', 'αποσυρ', 'σχετ']
Topic 276:  ['ζητατ', 'δεχθ', 'διαμαρτυρ', 'μειν', 'σχετ']
Topic 277:  ['διαβαζ', 'χρησιμοποι', 'δενδ', 'εκφρας', 'μειν']
Topic 278:  ['ακουτ', 'ζητατ', 'πανω', 'ημερ', 'ανεξαρτητ']
Topic 279:  ['διαμαρτυρ', 'δουλει', 'ζητατ', 'τσιογκ', 'απαραδεκτ']
Topic 280:  ['βουλτεψ', 'εταιρει', 'χρησιμοποι', 'συνεχιζ', 'διαμαρτυρ']
Topic 281:  ['ποττακ', 'ελεγ', 'σκεψ', 'ακουτ', 'παραβιαζ']
Topic 282:  ['ελεγ', 'ακουτ', 'αδικ', 'γνωμ', 'δωδεκ']
Topic 283:  ['παγκαλ', 'εφοσον', 'πληρων', 'ζαφειροπουλ', 'παππ']
Topic 284:  ['βοηθ', 'κατηγορ', 'αδικ', 'αποσυρ', 'δουλει']
Topic 285:  ['διαβαζ', 'ζαφειροπουλ', 'καταλαβαινετ', 'δεχθ', 'δουλει']
Topic 286:  ['ακολουθ', 'γνωμ', 'καμμ', 'υπουργε', 'αδικ']
Topic 287:  ['σχολ', 'δυσκολ', 'φορολογ', 'φερν', 'σκουλακ']
Topic 288:  ['παππ', 'παραιτ', 'ροκοφυλλ', 'εφοσον', 'εμπορ']
Topic 289:  ['σκουλακ', 'λογι', 'σχολ', 'οφειλ', 'ενοχλ']
Topic 290:  ['μειν', 'ψηφιστ', 'χριστοφιλοπουλ', 'σημας', 'συνιστ']
Topic 291:  ['μεταφορ', 'ποττακ', 'παραβιαζ', 'παγκαλ', 'πληρων']
Topic 292:  ['αναγκ', 'παραιτ', 'απαραδεκτ', 'αμυν', 'δουλει']
Topic 293:  ['καταλαβαινετ', 'ποττακ', 'ιωανν', 'διαρκ', 'διασκεψ']
Topic 294:  ['καρατζαφερ', 'ενοχλ', 'καταθετ', 'κατηγορ', 'αλογοσκουφ']
Topic 295:  ['συναδελφε', 'χρυς', 'παραβιαζ', 'αμφισβητ', 'οφειλ']
Topic 296:  ['ακουτ', 'δουλει', 'υπουργε', 'εφαρμοζ', 'παραιτ']
Topic 297:  ['παγκαλ', 'δενδ', 'τριαντ', 'ακουτ', 'υποχρεως']
Topic 298:  ['αντιθετ', 'ανεξαρτητ', 'υποχρεως', 'υπηρξ', 'τραπεζ']
Topic 299:  ['αφην', 'εφοσον', 'υποχρεως', 'παιδ', 'μπενακ']
Percentage of total variance explained by the selected components: 31.70%
